Unnamed: 2	S039P	S068P	S074P	S083P	S098P	S158P	S243P	S247P	S114P	S177P	S228P	S262P	S276P	S035P	S037P	S043P	S046P	S051P	S054P	S059P	S092P	S107P	S108P	S111P	S159P	S165P	S171P	S181P	S186P	S189P	S191P	S227P	S233P	S239P	S254P	S255P	S256P	S261P	S282P	S042P	S048P	S057P	S075P	S086P	S087P	S088P	S091P	S102P	S112P	S116P	S157P	S167P	S172P	S176P	S188P	S192P	S230P	S234P	S240P	S251P	S039T	S068T	S074T	S083T	S098T	S158T	S243T	S247T	S114T	S177T	S228T	S262T	S276T	S035T	S037T	S043T	S046T	S051T	S054T	S059T	S092T	S107T	S108T	S111T	S159T	S165T	S171T	S181T	S186T	S189T	S191T	S227T	S233T	S239T	S254T	S255T	S256T	S261T	S282T	S042T	S048T	S057T	S075T	S086T	S087T	S088T	S091T	S102T	S112T	S116T	S157T	S167T	S172T	S176T	S188T	S192T	S230T	S234T	S240T	S251T
PCNA	0.621	0.519	0.44	0.48	0.5	0.623	0.759	0.708	0.933	0.668	0.612	0.625	0.678	0.738	0.707	1.061	0.774	0.767	0.727	0.831	0.484	0.366	0.433	1.0	0.714	0.662	0.595	0.704	0.542	0.65	0.593	0.487	0.578	0.811	0.819	0.848	0.59	0.889	0.659	0.609	0.568	0.437	0.423	0.419	0.353	0.603	0.591	0.427	0.494	0.465	0.66	0.527	0.475	0.503	0.462	0.585	0.457	0.639	0.526	0.603	1.096	0.978	0.995	0.879	0.967	1.128	1.099	1.404	1.817	1.362	1.391	0.89	1.165	1.309	0.684	1.517	1.229	0.898	1.147	0.77	0.789	0.628	0.845	1.231	0.965	0.895	0.828	0.766	0.793	0.86	0.763	1.295	0.869	1.572	1.113	1.129	0.745	0.866	1.223	1.495	1.657	1.103	1.652	1.546	1.541	0.791	1.356	1.353	1.27	0.891	1.142	1.726	1.702	1.404	1.083	1.22	1.449	1.008	1.141	1.136
SFPQ	0.756	0.753	0.685	0.65	0.666	0.69	0.844	0.834	0.896	0.711	0.737	0.734	0.711	0.815	0.901	1.066	0.887	0.937	0.975	1.024	0.689	0.591	0.692	0.84	0.887	0.875	0.652	0.72	0.602	0.683	0.836	0.62	0.762	0.913	0.99	0.982	0.7	0.906	0.797	0.703	0.712	0.635	0.534	0.568	0.554	0.761	0.764	0.707	0.639	0.596	0.885	0.595	0.548	0.567	0.584	0.664	0.649	0.636	0.674	0.705	1.061	1.105	1.065	0.995	0.958	0.906	1.102	1.117	1.303	1.159	1.123	1.284	1.29	1.035	0.764	1.306	1.265	1.048	1.049	0.985	0.826	0.749	0.912	0.912	1.196	1.048	0.84	0.84	1.066	0.9	0.885	0.893	1.004	1.149	1.179	1.021	0.772	0.969	1.084	1.095	1.361	0.935	1.395	1.418	1.25	0.944	1.174	1.077	1.135	1.038	1.178	1.478	1.011	1.099	1.392	1.253	1.119	1.059	1.087	1.14
TOP1	0.662	0.611	0.576	0.589	0.535	0.745	0.937	0.836	0.847	0.547	0.596	0.669	0.66	0.729	0.745	0.9	0.733	0.768	0.923	0.811	0.644	0.584	0.451	0.67	0.79	0.702	0.6	0.669	0.481	0.588	0.748	0.572	0.641	0.781	1.052	0.887	0.552	0.717	0.741	0.6	0.619	0.517	0.544	0.563	0.562	0.723	0.694	0.607	0.537	0.387	0.79	0.47	0.408	0.446	0.515	0.706	0.45	0.596	0.6	0.68	1.015	1.117	0.947	0.882	0.911	1.185	1.534	1.158	1.395	1.017	1.24	1.174	1.037	0.944	0.728	1.148	1.162	0.839	1.332	0.72	0.792	0.681	0.802	0.758	0.964	0.982	0.835	0.726	0.868	0.788	0.95	0.845	0.985	1.036	1.463	0.955	0.488	0.961	1.368	0.931	1.436	0.78	1.24	1.312	1.137	1.123	1.698	1.006	1.509	0.887	1.209	1.124	0.938	1.101	1.226	1.212	0.937	1.166	1.362	1.029
PTGES3	0.751	0.701	0.589	0.717	0.721	1.053	1.159	0.95	0.898	0.858	0.711	0.774	0.857	0.8	0.81	0.919	0.866	0.9	0.825	0.846	0.675	0.641	0.619	0.8	0.738	0.771	0.995	1.045	0.717	0.682	0.738	0.707	0.793	0.953	0.951	0.896	0.75	1.059	0.901	0.649	0.59	0.497	0.525	0.633	0.599	0.699	0.858	0.703	0.647	0.776	0.949	0.648	0.597	0.569	0.676	0.805	0.675	0.821	0.85	0.656	0.939	0.925	0.863	1.015	1.12	1.244	1.346	1.196	1.23	1.609	1.273	1.234	1.095	0.924	0.748	1.305	1.23	0.832	1.043	0.923	0.742	1.0	0.897	0.885	0.983	0.924	1.08	1.17	0.834	0.865	0.824	0.875	0.897	1.341	0.937	0.841	0.87	1.184	0.911	1.111	1.255	0.833	1.446	1.574	1.124	1.238	1.161	1.638	1.185	1.201	1.219	1.224	1.8	0.678	1.243	1.112	1.254	1.134	1.292	1.065
NOLC1	0.63	0.779	0.882	0.627	0.549	0.557	0.638	0.78	1.11	0.572	0.884	0.609	0.656	0.794	0.732	1.309	0.789	0.795	0.666	1.046	0.658	0.332	0.517	0.904	0.451	0.611	0.417	0.651	0.637	0.686	0.697	0.766	0.825	0.892	0.858	0.913	0.523	0.668	0.739	0.64	0.4	0.351	1.053	0.319	0.324	0.561	0.66	0.448	0.665	0.312	0.598	0.422	0.299	0.368	0.632	0.6	0.569	0.831	0.548	0.706	0.881	0.932	1.066	0.668	0.834	0.614	0.812	1.424	1.367	0.955	1.008	1.025	0.833	0.849	0.588	2.065	0.998	1.104	1.487	0.918	0.77	0.594	0.688	0.638	0.753	0.962	0.543	0.746	1.172	0.794	0.781	0.973	1.103	1.045	1.227	0.983	0.607	0.749	1.393	1.06	0.803	0.726	1.283	0.915	0.662	0.776	1.064	0.606	1.112	0.959	1.202	1.259	1.396	0.732	1.355	1.056	1.058	0.858	0.939	1.046
G6PD	0.57	0.504	0.395	0.514	0.461	0.657	0.62	0.668	0.686	0.602	0.573	0.58	0.58	0.586	0.642	0.594	0.699	0.693	0.658	0.516	0.534	0.501	0.445	0.572	0.594	0.743	0.581	0.621	0.584	0.572	0.709	0.563	0.535	0.86	0.711	0.743	0.48	0.555	0.588	0.518	0.557	0.554	0.326	0.456	0.421	0.524	0.609	0.555	0.498	0.482	0.755	0.545	0.458	0.452	0.531	0.643	0.562	0.542	0.619	0.661	0.601	0.632	0.533	0.611	0.688	1.152	0.71	0.555	0.624	1.105	0.911	0.709	0.462	0.64	0.57	0.664	2.791	0.603	0.967	0.45	0.637	0.445	0.536	0.569	0.77	0.686	1.27	0.59	0.601	0.73	0.799	0.745	0.633	2.269	0.658	0.778	0.536	0.682	0.68	1.476	0.529	0.933	0.676	0.973	0.598	0.514	1.51	0.63	1.85	0.851	2.416	0.712	0.73	0.881	1.091	1.275	1.023	1.131	2.336	0.855
PRKDC	0.751	0.738	0.687	0.665	0.604	0.76	0.875	0.855	0.887	0.781	0.763	0.74	0.744	0.802	0.819	0.879	0.863	0.838	0.86	0.916	0.668	0.616	0.656	0.872	0.814	0.819	0.757	0.808	0.675	0.73	0.783	0.7	0.76	0.891	0.929	0.95	0.702	0.828	0.838	0.709	0.713	0.676	0.606	0.619	0.626	0.736	0.758	0.683	0.714	0.641	0.845	0.625	0.619	0.655	0.629	0.732	0.689	0.742	0.743	0.721	1.152	1.116	1.062	0.862	0.692	0.939	1.078	1.395	1.323	1.249	1.263	1.144	1.163	1.153	0.762	0.882	1.274	0.882	1.076	0.857	0.787	0.848	0.848	0.938	1.013	0.944	0.858	0.87	1.029	0.925	0.858	0.934	1.029	1.476	1.124	0.965	0.797	0.976	1.197	1.093	1.288	0.853	1.617	1.292	1.177	0.988	1.118	1.018	1.411	1.223	1.329	1.151	1.004	1.034	1.468	1.146	1.189	1.036	1.195	1.094
RB1	0.521	0.657	0.626	0.629	0.585	0.688	0.699	0.729	0.78	0.541	0.499	0.7	0.582	0.664	0.693	0.93	0.863	0.918	0.886	0.728	0.582	0.359	0.678	0.774	0.893	0.748	0.63	0.54	0.462	0.511	0.573	0.455	0.603	0.931	0.932	1.002	0.784	0.763	0.732	0.453	0.716	0.736	0.585	0.382	0.428	0.68	0.658	0.356	0.694	0.403	0.578	0.499	0.494	0.439	0.395	0.597	0.422	0.504	0.879	0.769	0.414	0.99	0.937	0.74	0.73	0.764	0.751	0.613	1.135	1.096	0.727	1.243	0.892	0.698	0.51	1.317	1.053	0.962	0.893	0.774	0.779	0.612	1.247	0.496	1.115	1.463	0.778	0.651	0.599	0.679	0.694	0.374	0.716	0.964	1.017	0.92	0.785	0.875	1.151	0.639	1.412	0.879	1.824	1.643	0.934	0.883	1.049	1.215	0.927	0.743	0.837	0.684	0.893	0.634	1.092	1.396	0.38	1.099	1.196	1.051
HNRNPL	0.745	0.79	0.678	0.67	0.813	0.761	0.877	0.986	0.909	0.806	0.793	0.787	0.776	0.867	0.944	1.033	0.943	0.958	0.892	0.874	0.74	0.638	0.688	0.9	0.851	0.897	0.833	0.864	0.711	0.798	0.863	0.714	0.799	0.968	0.918	0.809	0.746	0.887	0.801	0.664	0.763	0.666	0.554	0.653	0.729	0.824	0.819	0.707	0.647	0.603	0.891	0.637	0.63	0.682	0.587	0.789	0.819	0.782	0.813	0.698	1.096	1.105	1.007	1.008	1.14	0.998	1.207	1.304	1.454	1.373	1.23	1.24	1.125	1.185	0.8	1.445	1.398	0.941	1.058	0.95	0.929	0.902	0.935	1.022	0.996	1.004	0.963	0.884	1.07	0.988	0.905	0.929	1.036	1.317	1.046	0.945	0.8	0.956	1.068	1.107	1.429	0.978	1.508	1.319	1.301	1.122	1.181	1.265	1.366	1.124	1.149	1.244	1.256	0.93	1.61	1.158	1.166	1.046	1.265	1.117
TIMMDC1	0.788	0.815	0.674	0.776	0.904	0.825	0.923	0.821	0.986	0.837	0.823	0.884	0.868	0.833	0.892	1.177	0.966	1.02	0.965	0.981	0.725	1.043	0.841	1.008	0.847	0.899	0.75	0.655	0.671	0.905	0.79	0.873	0.828	1.057	0.792	0.886	0.87	0.84	0.848	0.877	0.68	0.722	0.588	0.59	0.626	0.667	0.823	1.268	0.807	0.489	0.914	0.581	0.465	0.618	0.533	0.76	0.691	0.736	0.526	0.653	1.043	1.07	0.976	0.863	0.887	0.909	1.04	1.052	1.126	1.249	1.751	1.04	1.581	1.021	0.78	1.661	1.71	1.09	1.119	0.869	1.032	0.935	0.983	0.959	1.048	1.199	0.94	0.927	1.356	1.061	1.12	0.889	0.998	1.446	1.368	0.888	0.803	1.031	1.171	0.939	1.545	0.901	1.591	1.337	1.075	1.161	1.069	0.95	2.0	1.109	1.337	0.974	1.491	0.623	1.488	1.063	1.302	1.206	0.857	1.431
